"cname","al_ethnic2000","al_language2000","al_religion2000","wdi_gdpcapgr","pwt_hci","wdi_pop","wdi_mortinf","vdem_corr","ht_region","log_pop"
"Afghanistan",0.769344584540685,0.6141462,0.2716839,-7.57666891152213,NA,40578842,52,0.567,8,17.51875735573
"Albania",0.220426,0.0399248,0.4718516,6.45698822084806,3.0112419128418,2451636,8.3,0.558,1,14.7122661147737
"Algeria",0.3394,0.4426619,0.0091285,1.96825188100587,2.48042869567871,45477389,20,0.67,3,17.6327258153481
"Andorra",0.713946,0.684785,0.2325685,7.72123800096536,NA,79705,2.6,NA,5,11.2860875980677
"Angola",0.78672,0.7870192,0.6276435,0.991406795873331,1.52565121650696,35635029,39.6,0.564,4,17.3888396727244
"Antigua and Barbuda",0.164256,0.1063281,0.6839913,8.53077119658229,NA,92840,7.5,NA,10,11.4386328603884
"Azerbaijan",0.204672,0.2053919,0.4898947,4.673317967871,NA,10141756,14.1,0.912,1,16.1321717166766
"Argentina",0.255,0.0617542,0.2236207,5.79747980169367,3.14963102340698,45407904,8.3,0.48,2,17.6311967447748
"Australia",0.0929019999999999,0.3349497,0.8210855,2.91752727950202,3.62050604820251,26018721,3.2,0.032,5,17.074326875344
"Austria",0.106776182310413,0.1521866,0.4146217,4.32849751156559,3.43048191070557,9041851,2.7,0.111,5,16.0173744680457
"Bahamas (the)",0.422845142439737,0.1854935,0.6814594,10.5529690990486,NA,397538,11.6,NA,10,12.8930458059917
"Bahrain",0.50213,0.4343625,0.5528251,4.76451212539493,2.82015657424927,1524693,7,0.542,3,14.2373036362824
"Bangladesh",0.045434,0.0924852,0.2090498,6.00847462887278,2.1118311882019,169384897,24.4,0.918,8,18.9476841803635
"Armenia",0.127154,0.1290535,0.4575609,12.3383335576379,3.16059851646423,2969200,9.3,0.32,1,14.9038031142255
"Barbados",0.142342,0.0926369,0.6934029,17.1554586161249,2.86182856559753,282318,9.6,0.061,10,12.5507893741642
"Belgium",0.5554,0.5408844,0.2126811,3.11948540770641,3.16554522514343,11680210,3.1,0.031,5,16.2734065146548
"Bhutan",0.605,0.6056015,0.3787035,4.47661599603487,NA,780914,19.1,0.129,8,13.5682203075218
"Bolivia (Plurinational State of)",0.739625060086525,0.2239819,0.2084686,2.54653335522636,3.05485272407532,12077154,20.7,0.671,2,16.3068261266873
"Bosnia and Herzegovina",0.630038,0.6751031,0.6850857,5.53111118093285,NA,3204802,5.5,0.757,1,14.9801608679574
"Botswana",0.410248,0.4109727,0.5986193,3.82363084321453,3.02385544776917,2439892,39.2,0.275,4,14.7074643339947
"Brazil",0.540836,0.0468443,0.6054302,2.64631532426549,3.29099345207214,210306415,12.6,0.543,2,19.1640761442495
"Belize",0.70154,0.6302864,0.5812932,7.24662103489808,2.89482998847961,402733,10.9,NA,10,12.9060290903408
"Solomon Islands",0.111022,0.5254309,0.6708081,-4.8887084399994,NA,781066,17,0.639,9,13.5684149322936
"Brunei Darussalam",0.5416,0.3437908,0.4404053,-2.41660968862067,2.84965920448303,455370,8.3,NA,7,13.028865554289
"Bulgaria",0.402114114414058,0.3030913,0.5965012,4.76332108962356,3.24076652526855,6465097,5.1,0.311,1,15.6819285739425
"Myanmar",0.506186,0.5072459,0.1973855,3.32202841461704,1.91111409664154,53756787,35.2,0.772,7,17.7999804867681
"Burundi",0.295144,0.2976615,0.5158263,-0.413741363752337,1.46562254428864,13321097,32.4,0.722,4,16.4048595770427
"Belarus",0.322184,0.4666067,0.6116207,-3.88854008026519,NA,9228071,2,0.411,1,16.037760592221
"Cambodia",0.210464,0.2104394,0.0964534,3.74000920039251,2.02220344543457,17201724,21.1,0.895,7,16.6605201693189
"Cameroon",0.86349,0.8897894,0.7337534,1.04502997524601,1.93028342723846,27632771,42.5,0.931,4,17.1345129814113
"Canada",0.71242,0.5771839,0.6957678,2.32641594463436,3.75202083587646,38935934,4.5,0.029,5,17.4774281354046
"Cabo Verde",0.4174,NA,0.0766164,15.1545081084513,NA,519741,11.5,0.255,4,13.161085889553
"Central African Republic (the)",0.82951,0.8333871,0.7916332,0.730965726740934,1.59233725070953,5098039,189.1,0.831,4,15.4443665139478
"Sri Lanka",0.415,0.4644557,0.4852962,-7.45361888091261,2.93261384963989,22181000,5.5,0.553,8,16.9147466245329
"Chad",0.862016,0.8635251,0.6410788,0.591759077197977,NA,18455316,60.3,0.957,4,16.7308630170306
"Chile",0.186146,0.1870761,0.3841057,1.64877813218645,3.21398735046387,19553036,5.9,0.063,2,16.7886411264564
"China",0.15379034,0.1326977,0.6642963,3.14769982133814,2.74130630493164,1412175000,4.8,0.465,6,21.0683969060149
"Taiwan (Province of China)",0.2744,0.5027927,0.6844943,NA,3.46390080451965,NA,NA,0.226,6,NA
"Colombia",0.6014,0.0192682,0.1478351,6.18779953705864,2.6601254940033,51737944,11.3,0.381,2,17.7617019967853
"Comoros (the)",0,0.0102913,0.0137451,0.633328895842794,NA,834188,36.8,0.793,4,13.634214075602
"Congo (the)",0.874726,0.6871037,0.6642361,-0.927744025174505,2.17317295074463,6035104,28.5,0.829,4,15.6131036451739
"Congo (the Democratic Republic of the)",0.874726,0.8704723,0.702141,5.84381468903847,1.8225005865097,102396968,45.8,0.949,4,18.4443676607563
"Costa Rica",0.2368,0.0489116000000001,0.2409582,4.10345495842361,2.70455527305603,5081765,8.8,0.19,2,15.4411692001559
"Croatia",0.369026,0.0762839,0.4447331,7.94395699321689,3.75744962692261,3855641,3.9,0.245,1,15.1650478287186
"Cuba",0.5908,NA,0.5059358,2.34839091134221,NA,11059820,6.3,0.581,2,16.2188292790616
"Cyprus",0.0938540000000001,0.3961601,0.3961601,6.27933971497492,2.97051954269409,1331370,2.8,0.202,3,14.1017190452225
"Czechia",0.322164,0.323343,0.6590906,1.24409473190281,3.77818751335144,10672118,2.2,0.159,1,16.1831451040479
"Benin",0.787216,0.7905251,0.5543994,3.58043408047179,2.01414346694946,13759501,47.7,0.183,4,16.437240125277
"Denmark",0.08186,0.1049465,0.2333039,-0.344058639271637,3.65001320838928,5903037,3.1,0.002,5,15.5909775222025
"Dominica",0.200262,NA,0.4628099,11.0179611001056,NA,66826,32.7,NA,10,11.1098475053546
"Dominican Republic (the)",0.4294,0.0394729,0.3118443,4.2328919676722,2.88338804244995,11230734,29.1,0.61,2,16.2341646852199
"Ecuador",0.655,0.1308116,0.1417125,5.0282959697896,2.79839634895325,17823897,11.2,0.626,2,16.6960506429671
"El Salvador",0.1978,NA,0.3558834,2.55237486650837,2.36482119560242,6280319,9.5,0.747,2,15.6529313333326
"Equatorial Guinea",0.3467,0.3220486,0.1195111,0.661786258781987,NA,1803545,50.9,0.858,4,14.4052647304977
"Ethiopia",0.723472,0.8073233,0.624868,2.59539967644373,1.51901984214783,125384287,37,0.572,4,18.6468938752817
"Eritrea",0.6524,0.6530491,0.4253191,NA,NA,3409447,26.4,0.702,4,15.0420606660207
"Estonia",0.50617,0.4944277,0.4984568,-2.53754963208853,3.56257843971252,1348840,1.7,0.032,1,14.1147555217805
"Fiji",0.547942,0.547909,0.5681994,17.3979446832272,2.71910119056702,919422,23.5,0.351,9,13.7315004907171
"Finland",0.13149731,0.1412075,0.2531044,0.489394588644501,3.57393145561218,5556106,1.8,0.011,5,15.5304080611481
"France",0.103216840808031,0.1220981,0.4028581,2.20208858513766,3.29128694534302,68184457,3.4,0.05,5,18.037727193614
"Djibouti",0.796166,0.6558025,0.0434568,3.70080389886223,NA,1137096,45.9,0.675,4,13.9439882018861
"Gabon",0.76896,0.7820833,0.6674408,0.747533658794609,2.99687314033508,2430747,27.2,0.83,4,14.7037091754842
"Georgia",0.492274,0.474852,0.6542991,10.8422088053808,NA,3712502,8.1,0.152,1,15.1272166008135
"Gambia (the)",0.786402,0.8076314,0.0969684,3.0738139901925,1.47261238098145,2636470,34.9,0.275,4,14.7849514591661
"Germany",0.168202,0.1642306,0.6571196,1.83161439976671,3.69603681564331,83177813,3.1,0.018,5,18.2364911995554
"Ghana",0.673332,0.6730879,0.7986752,1.8305124767942,2.64216780662537,33149152,29.2,0.638,4,17.3165276935751
"Kiribati",0.0510539999999997,0.0236725,0.5541115,2.88966132985202,NA,130469,40.6,NA,9,11.7788909296332
"Greece",0.157630099847914,0.0299515,0.1530306,6.85985632812138,3.21412491798401,10436882,3.3,0.253,5,16.1608564368075
"Grenada",0.266134,NA,0.5897732,7.10371866166386,NA,116913,16.9,NA,10,11.6691853474363
"Guatemala",0.5122,0.4585927,0.3753242,2.72968996454634,1.99822843074799,17847877,18.4,0.762,2,16.6973951235423
"Guinea",0.738942,0.7725216,0.2648523,1.423063279934,NA,14055137,63.1,0.853,4,16.4584985096961
"Guyana",0.619498,0.0688036,0.7875918,62.1110713145037,2.7450966835022,821637,24.6,0.39,10,13.6190539706623
"Haiti",0.0950000000000001,NA,0.4703656,-2.7846808475344,1.78811812400818,11503606,41.5,0.833,2,16.2581711093996
"Honduras",0.1867,0.055289,0.2357165,2.41184551052402,2.55060124397278,10463872,13.7,0.768,2,16.1634391201884
"Hungary",0.1522,0.0296652,0.524375,4.43277115645731,3.51340484619141,9605074,3.2,0.505,1,16.0778020584758
"Iceland",0.0797959999999998,0.0820409,0.1913265,6.11928417467047,3.25417709350586,382003,2,0.022,5,12.853183740961
"India",0.4182,0.8069049,0.3260226,6.76238601727897,2.21300768852234,1425423212,25.6,0.688,8,21.0777345974512
"Indonesia",0.735134,0.7679988,0.2340266,4.52447576618876,2.32053375244141,278830529,17.5,0.738,7,19.4461147322905
"Iran (Islamic Republic of)",0.6684,0.7462229,0.1151954,3.1070265605891,2.69387650489807,89524246,11,0.768,3,18.3100200515849
"Iraq",0.36891,0.3694473,0.4843678,5.51097802061808,2.36099410057068,44070551,21.5,0.867,3,17.6013023395764
"Ireland",0.120635,0.0312421,0.1549789,5.40228269492256,3.24670171737671,5212836,3.3,0.032,5,15.4666346034434
"Israel",0.343593722694069,0.5524736,0.3468543,4.19414564339442,3.94119048118591,9557500,2.7,0.118,3,16.0728367445527
"Italy",0.114519,0.1146823,0.3026566,5.0334454866795,3.23505067825317,59013667,2.4,0.155,5,17.8932796191124
"Côte d'Ivoire",0.820424,0.784203,0.7551077,3.75602084648943,1.73017752170563,30395002,47.9,0.59,4,17.2297887449653
"Jamaica",0.412894,0.1098046,0.6159606,6.38449296229192,2.64683246612549,2839144,18.3,0.16,10,14.859013156254
"Japan",0.0119279999999997,0.0177716,0.5406345,1.39102754851621,3.6391270160675,125124989,1.8,0.062,6,18.6448237076876
"Kazakhstan",0.617122,0.6620897,0.5898463,1.70100297910589,3.40691876411438,20034609,7.7,0.678,1,16.8129717860147
"Jordan",0.5926,0.0395558,0.0659424,0.915646680170994,2.88985562324524,11256263,12.6,0.483,3,16.2364352428197
"Kenya",0.8588,0.8860157,0.776517,2.86281276489714,2.57906222343445,54252461,35.8,0.536,4,17.8091589134112
"Korea (the Democratic People's Republic of)",0.0392000000000001,0.00276370000000004,0.4891185,NA,NA,26328845,14.3,0.663,6,17.0861756641981
